$signature$	$evaluation_level$
$ $	$1$
$!$	$2$
$"$	$3$
$#$	$4$
$$$$	$5$
$%$	$6$
$&$	$7$
$'$	$8$
$($	$9$
$)$	$10$
$*$	$11$
$+$	$12$
$,$	$13$
$-$	$14$
$.$	$15$
$/$	$16$
$0$	$17$
$1$	$18$
$2$	$19$
$3$	$20$
$4$	$21$
$5$	$22$
$6$	$23$
$7$	$24$
$8$	$25$
$9$	$26$
$:$	$27$
$;$	$28$
$<$	$29$
$=$	$30$
$>$	$31$
$?$	$32$
$@$	$33$
$A$	$34$
$B$	$35$
$C$	$36$
$D$	$37$
$E$	$38$
$F$	$39$
$G$	$40$
$H$	$41$
$I$	$42$
$J$	$43$
$K$	$44$
$L$	$45$
$M$	$46$
$N$	$47$
$O$	$48$
$P$	$49$
$Q$	$50$
$R$	$51$
$S$	$52$
$T$	$53$
$U$	$54$
$V$	$55$
$W$	$56$
$X$	$57$
$Y$	$58$
$Z$	$59$
$[$	$60$
$\$	$61$
$]$	$62$
$^$	$63$
$_$	$64$
$`$	$65$
$a$	$66$
$b$	$67$
$c$	$68$
$d$	$69$
$e$	$70$
$f$	$71$
$g$	$72$
$h$	$73$
$i$	$74$
$j$	$75$
$k$	$76$
$l$	$77$
$m$	$78$
$n$	$79$
$o$	$80$
$p$	$81$
$q$	$82$
$r$	$83$
$s$	$84$
$t$	$85$
$u$	$86$
$v$	$87$
$w$	$88$
$x$	$89$
$y$	$90$
$z$	$91$
${$	$92$
$|$	$93$
$}$	$94$
$~$	$95$
$$	$96$
$阿_a$	$97$
$呵_a$	$98$
$啊_a$	$99$
$嗄_a$	$100$
$吖_a1$	$101$
$阿_a1$	$102$
$呵_a1$	$103$
$啊_a1$	$104$
$锕_a1$	$105$
$腌_a1$	$106$
$奩_a1$	$107$
$錒_a1$	$108$
$艚_a1$	$109$
$呵_a2$	$110$
$啊_a2$	$111$
$嗄_a2$	$112$
$阿_a3$	$113$
$啊_a3$	$114$
$阿_a4$	$115$
$呵_a4$	$116$
$啊_a4$	$117$
$世_ai1$	$118$
$哎_ai1$	$119$
$哀_ai1$	$120$
$埃_ai1$	$121$
$挨_ai1$	$122$
$唉_ai1$	$123$
$娭_ai1$	$124$
$捱_ai1$	$125$
$欸_ai1$	$126$
$剴_ai1$	$127$
$溾_ai1$	$128$
$嗳_ai1$	$129$
$銰_ai1$	$130$
$锿_ai1$	$131$
$噯_ai1$	$132$
$諰_ai1$	$133$
$鎄_ai1$	$134$
$邢_ai2$	$135$
$呆_ai2$	$136$
$厓_ai2$	$137$
$丳_ai2$	$138$
$骂_ai2$	$139$
$挨_ai2$	$140$
$捱_ai2$	$141$
$啀_ai2$	$142$
$皑_ai2$	$143$
$窚_ai2$	$144$
$娾_ai2$	$145$
$凒_ai2$	$146$
$隑_ai2$	$147$
$嵦_ai2$	$148$
$溰_ai2$	$149$
$嘊_ai2$	$150$
$獃_ai2$	$151$
$敱_ai2$	$152$
$敳_ai2$	$153$
$磑_ai2$	$154$
$皚_ai2$	$155$
$橴_ai2$	$156$
$鮖_ai2$	$157$
$騃_ai2$	$158$
$癌_ai2$	$159$
$乃_ai3$	$160$
$毐_ai3$	$161$
$佁_ai3$	$162$
$奇_ai3$	$163$
$昹_ai3$	$164$
$唉_ai3$	$165$
$烠_ai3$	$166$
$硋_ai3$	$167$
$娾_ai3$	$168$
$欸_ai3$	$169$
$絠_ai3$	$170$
$楂_ai3$	$171$
$楈_ai3$	$172$
$嗳_ai3$	$173$
$矮_ai3$	$174$
$蔼_ai3$	$175$
$躷_ai3$	$176$
